ID;Scope;Level 1;Level 2;Level 3;Level 4;Column Text;UOM;GHG/Unit;GHG Conversion Factor 2024;;;
1_100_1004_6_1;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Gross CV);kgCO2e;0,18290;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas','kWh (Gross CV)','kgCO2e','Scope 1','0,1829', '1_100_1004_6_1');";;
1_100_1004_6_2;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Gross CV);kg CO2e of CO2 per unit;0,18253;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Gross CV)','1_100_1004_6_3');";;
1_100_1004_6_3;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Gross CV);kg CO2e of CH4 per unit;0,00028;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','kWh (Gross CV)','1_100_1004_6_4');";;
1_100_1004_6_4;Scope 1;Fuels;Gaseous fuels;Natural gas;;;kWh (Gross CV);kg CO2e of N2O per unit;0,00009;"call _emissionsRefInsert('Gaseous fuels Natural gas','Fuels','tonnes','1_100_1005_15_1');";;
1_100_1005_15_1;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;tonnes;kgCO2e;2590,46441;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas (100% mineral blend)','tonnes','kgCO2e','Scope 1','2590,46441', '1_100_1005_15_1');";;
1_100_1005_15_2;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;tonnes;kg CO2e of CO2 per unit;2585,42000;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','tonnes','1_100_1005_15_3');";;
1_100_1005_15_3;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;tonnes;kg CO2e of CH4 per unit;3,85280;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','tonnes','1_100_1005_15_4');";;
1_100_1005_15_4;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;tonnes;kg CO2e of N2O per unit;1,19161;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','cubic metres','1_100_1005_1_1');";;
1_100_1005_1_1;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;cubic metres;kgCO2e;2,06318;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas (100% mineral blend)','cubic metres','kgCO2e','Scope 1','2,06318', '1_100_1005_1_1');";;
1_100_1005_1_2;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;cubic metres;kg CO2e of CO2 per unit;2,05916;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','cubic metres','1_100_1005_1_3');";;
1_100_1005_1_3;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;cubic metres;kg CO2e of CH4 per unit;0,00307;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','cubic metres','1_100_1005_1_4');";;
1_100_1005_1_4;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;cubic metres;kg CO2e of N2O per unit;0,00095;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Net CV)','1_100_1005_7_1');";;
1_100_1005_7_1;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Net CV);kgCO2e;0,20440;"call _emissionsRefInsert('Fuels','Gaseous fuels','Natural gas (100% mineral blend)','kWh (Net CV)','kgCO2e','Scope 1','0,2044', '1_100_1005_7_1');";;
1_100_1005_7_2;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Net CV);kg CO2e of CO2 per unit;0,20399;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Net CV)','1_100_1005_7_3');";;
1_100_1005_7_3;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Net CV);kg CO2e of CH4 per unit;0,00031;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Net CV)','1_100_1005_7_4');";;
1_100_1005_7_4;Scope 1;Fuels;Gaseous fuels;Natural gas (100% mineral blend);;;kWh (Net CV);kg CO2e of N2O per unit;0,00010;"call _emissionsRefInsert('Gaseous fuels Natural gas (100% mineral blend)','Fuels','kWh (Gross CV)','1_100_1005_6_1');";;
